timeIndex,rho,rhoU,rhoE
401,0.00401,0.00121909,0.00127837,0.000727968
402,0.00402,0.0012164,0.00127857,0.000727511
403,0.00403,0.00121411,0.00127872,0.00072706
404,0.00404,0.00121222,0.00127882,0.000726616
405,0.00405,0.00121072,0.00127886,0.000726178
406,0.00406,0.00120958,0.00127884,0.000725748
407,0.00407,0.0012088,0.00127877,0.000725324
408,0.00408,0.00120837,0.00127864,0.000724908
409,0.00409,0.00120826,0.00127845,0.000724498
410,0.0041,0.00120848,0.00127819,0.000724094
411,0.00411,0.00120899,0.00127788,0.000723698
412,0.00412,0.0012098,0.00127751,0.000723308
413,0.00413,0.00121088,0.00127708,0.000722924
414,0.00414,0.00121222,0.0012766,0.000722547
415,0.00415,0.0012138,0.00127605,0.000722176
416,0.00416,0.00121562,0.00127544,0.000721812
417,0.00417,0.00121766,0.00127478,0.000721454
418,0.00418,0.00121991,0.00127406,0.000721102
419,0.00419,0.00122235,0.00127328,0.000720756
420,0.0042,0.00122497,0.00127244,0.000720416
421,0.00421,0.00122775,0.00127156,0.000720081
422,0.00422,0.00123069,0.00127062,0.000719753
423,0.00423,0.00123378,0.00126963,0.000719429
424,0.00424,0.001237,0.00126858,0.000719112
425,0.00425,0.00124034,0.00126749,0.000718799
426,0.00426,0.00124379,0.00126635,0.000718492
427,0.00427,0.00124735,0.00126517,0.00071819
428,0.00428,0.001251,0.00126394,0.000717893
429,0.00429,0.00125473,0.00126267,0.000717601
430,0.0043,0.00125853,0.00126136,0.000717313
431,0.00431,0.0012624,0.00126001,0.00071703
432,0.00432,0.00126632,0.00125862,0.000716752
433,0.00433,0.0012703,0.0012572,0.000716477
434,0.00434,0.00127432,0.00125574,0.000716207
435,0.00435,0.00127838,0.00125425,0.000715942
436,0.00436,0.00128246,0.00125273,0.00071568
437,0.00437,0.00128657,0.00125118,0.000715422
438,0.00438,0.0012907,0.00124961,0.000715167
439,0.00439,0.00129483,0.00124801,0.000714917
440,0.0044,0.00129898,0.00124639,0.00071467
441,0.00441,0.00130313,0.00124475,0.000714426
442,0.00442,0.00130727,0.00124309,0.000714186
443,0.00443,0.00131141,0.00124142,0.000713948
444,0.00444,0.00131554,0.00123973,0.000713714
445,0.00445,0.00131966,0.00123802,0.000713483
446,0.00446,0.00132375,0.00123631,0.000713254
447,0.00447,0.00132783,0.00123458,0.000713029
448,0.00448,0.00133188,0.00123285,0.000712806
449,0.00449,0.0013359,0.0012311,0.000712586
450,0.0045,0.0013399,0.00122936,0.000712368
451,0.00451,0.00134386,0.00122761,0.000712152
452,0.00452,0.00134771,0.00122586,0.000711939
453,0.00453,0.00135151,0.00122411,0.000711728
454,0.00454,0.00135527,0.00122236,0.00071152
455,0.00455,0.001359,0.00122062,0.000711313
456,0.00456,0.00136268,0.00121887,0.000711109
457,0.00457,0.00136633,0.00121714,0.000710906
458,0.00458,0.00136993,0.00121541,0.000710705
459,0.00459,0.00137349,0.00121368,0.000710506
460,0.0046,0.00137701,0.00121197,0.000710308
461,0.00461,0.00138048,0.00121027,0.000710112
462,0.00462,0.0013839,0.00120858,0.000709917
463,0.00463,0.00138728,0.0012069,0.000709724
464,0.00464,0.00139061,0.00120523,0.000709532
465,0.00465,0.00139389,0.00120358,0.000709342
466,0.00466,0.00139712,0.00120194,0.000709153
467,0.00467,0.0014003,0.00120033,0.000708965
468,0.00468,0.00140344,0.00119872,0.000708778
469,0.00469,0.00140652,0.00119714,0.000708592
470,0.0047,0.00140955,0.00119558,0.000708408
471,0.00471,0.00141253,0.00119404,0.000708224
472,0.00472,0.00141546,0.00119251,0.000708041
473,0.00473,0.00141834,0.00119101,0.00070786
474,0.00474,0.00142116,0.00118953,0.000707679
475,0.00475,0.00142394,0.00118808,0.000707499
476,0.00476,0.00142666,0.00118664,0.00070732
477,0.00477,0.00142933,0.00118523,0.000707141
478,0.00478,0.00143195,0.00118385,0.000706963
479,0.00479,0.00143452,0.00118249,0.000706786
480,0.0048,0.00143704,0.00118115,0.00070661
481,0.00481,0.00143951,0.00117985,0.000706434
482,0.00482,0.00144193,0.00117856,0.000706259
483,0.00483,0.00144429,0.00117731,0.000706085
484,0.00484,0.00144661,0.00117608,0.000705911
485,0.00485,0.00144888,0.00117487,0.000705737
486,0.00486,0.00145109,0.0011737,0.000705564
487,0.00487,0.00145326,0.00117255,0.000705392
488,0.00488,0.00145538,0.00117143,0.00070522
489,0.00489,0.00145745,0.00117033,0.000705048
490,0.0049,0.00145947,0.00116927,0.000704877
491,0.00491,0.00146144,0.00116823,0.000704706
492,0.00492,0.00146337,0.00116722,0.000704535
493,0.00493,0.00146525,0.00116624,0.000704365
494,0.00494,0.00146708,0.00116529,0.000704196
495,0.00495,0.00146887,0.00116436,0.000704026
496,0.00496,0.00147061,0.00116346,0.000703857
497,0.00497,0.0014723,0.00116259,0.000703688
498,0.00498,0.00147395,0.00116175,0.00070352
499,0.00499,0.00147555,0.00116094,0.000703351
500,0.005,0.00147711,0.00116015,0.000703183
501,0.00501,0.00147863,0.00115939,0.000703016
502,0.00502,0.00148011,0.00115866,0.000702848
503,0.00503,0.00148154,0.00115796,0.000702681
504,0.00504,0.00148292,0.00115729,0.000702514
505,0.00505,0.00148427,0.00115664,0.000702347
506,0.00506,0.00148558,0.00115601,0.000702181
507,0.00507,0.00148684,0.00115542,0.000702014
508,0.00508,0.00148806,0.00115485,0.000701848
509,0.00509,0.00148925,0.00115431,0.000701682
510,0.0051,0.00149039,0.00115379,0.000701516
511,0.00511,0.0014915,0.0011533,0.000701351
512,0.00512,0.00149256,0.00115284,0.000701185
513,0.00513,0.00149359,0.0011524,0.00070102
514,0.00514,0.00149458,0.00115198,0.000700855
515,0.00515,0.00149554,0.0011516,0.00070069
516,0.00516,0.00149645,0.00115123,0.000700525
517,0.00517,0.00149734,0.00115089,0.000700361
518,0.00518,0.00149818,0.00115057,0.000700197
519,0.00519,0.00149899,0.00115028,0.000700033
520,0.0052,0.00149976,0.00115001,0.000699869
521,0.00521,0.0015005,0.00114976,0.000699705
522,0.00522,0.00150121,0.00114954,0.000699541
523,0.00523,0.00150188,0.00114934,0.000699378
524,0.00524,0.00150252,0.00114916,0.000699214
525,0.00525,0.00150313,0.001149,0.000699051
526,0.00526,0.0015037,0.00114886,0.000698888
527,0.00527,0.00150425,0.00114875,0.000698726
528,0.00528,0.00150476,0.00114866,0.000698563
529,0.00529,0.00150524,0.00114858,0.000698401
530,0.0053,0.00150569,0.00114853,0.000698239
531,0.00531,0.00150611,0.00114849,0.000698077
532,0.00532,0.0015065,0.00114848,0.000697915
533,0.00533,0.00150686,0.00114849,0.000697753
534,0.00534,0.00150719,0.00114851,0.000697592
535,0.00535,0.00150749,0.00114855,0.00069743
536,0.00536,0.00150776,0.00114861,0.000697269
537,0.00537,0.00150801,0.00114869,0.000697109
538,0.00538,0.00150823,0.00114879,0.000696948
539,0.00539,0.00150842,0.0011489,0.000696788
540,0.0054,0.00150859,0.00114903,0.000696627
541,0.00541,0.00150873,0.00114918,0.000696468
542,0.00542,0.00150885,0.00114934,0.000696308
543,0.00543,0.00150893,0.00114952,0.000696148
544,0.00544,0.001509,0.00114971,0.000695989
545,0.00545,0.00150904,0.00114992,0.00069583
546,0.00546,0.00150905,0.00115015,0.000695671
547,0.00547,0.00150904,0.00115039,0.000695513
548,0.00548,0.00150901,0.00115064,0.000695354
549,0.00549,0.00150895,0.00115091,0.000695196
550,0.0055,0.00150887,0.00115119,0.000695038
551,0.00551,0.00150877,0.00115149,0.000694881
552,0.00552,0.00150865,0.0011518,0.000694723
553,0.00553,0.0015085,0.00115212,0.000694566
554,0.00554,0.00150833,0.00115246,0.00069441
555,0.00555,0.00150814,0.0011528,0.000694253
556,0.00556,0.00150793,0.00115316,0.000694097
557,0.00557,0.0015077,0.00115353,0.000693941
