# Time	Cd	Cl	Cm
0.322	-0.00112538	0.032203	-0.0134799
0.323	-0.000845788	0.0186729	-0.0134267
0.324	-0.000412809	0.00296997	-0.0130418
0.325	1.57555e-05	-0.0108602	-0.0127585
0.326	0.000591643	-0.0262354	-0.0121364
0.327	0.00111821	-0.0391704	-0.0117577
0.328	0.00182377	-0.0545277	-0.0110676
0.329	0.00255288	-0.0688726	-0.0102847
0.33	0.00329812	-0.0821106	-0.00955628
0.331	0.00412587	-0.0959274	-0.00880717
0.332	0.00497323	-0.109329	-0.00805601
0.333	0.00581601	-0.121829	-0.00738486
0.334	0.00668743	-0.134219	-0.0067731
0.335	0.00756084	-0.146321	-0.00619321
0.336	0.00841713	-0.157944	-0.00565063
0.337	0.00923629	-0.168947	-0.00519484
0.338	0.010037	-0.17975	-0.00478387
0.339	0.0107951	-0.190323	-0.00438822
0.34	0.0114736	-0.200339	-0.00405992
0.341	0.0120777	-0.210057	-0.00377342
0.342	0.0125911	-0.219685	-0.00354885
0.343	0.0129742	-0.229406	-0.00333931
0.344	0.0132003	-0.237795	-0.00321212
0.345	0.0133028	-0.247244	-0.00312922
0.346	0.0133038	-0.256511	-0.00311679
0.347	0.013285	-0.265732	-0.00299771
0.348	0.0134028	-0.274103	-0.00281473
0.349	0.0137521	-0.283584	-0.002598
0.35	0.0142667	-0.292031	-0.00230738
0.351	0.0148407	-0.299899	-0.00190292
0.352	0.0153468	-0.306356	-0.0015222
0.353	0.0157757	-0.312304	-0.00120153
0.354	0.0160606	-0.317336	-0.000934083
0.355	0.0162232	-0.32215	-0.000755481
0.356	0.0162206	-0.326448	-0.000588529
0.357	0.0161051	-0.330312	-0.000417986
0.358	0.0159428	-0.333645	-0.000277987
0.359	0.0157733	-0.335909	-9.55994e-06
0.36	0.0156214	-0.338696	0.000237935
0.361	0.0154864	-0.340772	0.000515034
0.362	0.015307	-0.341619	0.000924942
0.363	0.0151064	-0.342185	0.00131721
0.364	0.0148597	-0.342371	0.00171684
0.365	0.01454	-0.341475	0.00227285
0.366	0.0141954	-0.340482	0.00274218
0.367	0.0137992	-0.33906	0.00323273
0.368	0.0133712	-0.337335	0.00368237
0.369	0.0129045	-0.334923	0.00422788
0.37	0.0124047	-0.33204	0.00484424
0.371	0.0118747	-0.328716	0.00552676
0.372	0.0113273	-0.325234	0.00614078
0.373	0.0107592	-0.321289	0.00676664
0.374	0.0101749	-0.317016	0.00738503
0.375	0.00957513	-0.31247	0.00793921
0.376	0.00895008	-0.307543	0.00846675
0.377	0.00829172	-0.302697	0.00841211
0.378	0.00764828	-0.296804	0.00881986
0.379	0.00695422	-0.290366	0.00921921
0.38	0.0062467	-0.283451	0.00953171
0.381	0.00552393	-0.275941	0.00980842
0.382	0.00480697	-0.268011	0.00994571
0.383	0.00409177	-0.259424	0.0100783
0.384	0.0033829	-0.250365	0.0104142
0.385	0.00269164	-0.240792	0.0107633
0.386	0.00203258	-0.229677	0.010557
0.387	0.00142135	-0.219541	0.0108378
0.388	0.000814491	-0.208007	0.0112933
0.389	0.000264576	-0.196332	0.0118534
0.39	-0.000220337	-0.184825	0.0124567
0.391	-0.000623336	-0.171784	0.0127143
0.392	-0.000971189	-0.158856	0.0130138
0.393	-0.00127257	-0.145764	0.0134219
0.394	-0.00150567	-0.132637	0.0137878
0.395	-0.00164229	-0.118673	0.0139052
0.396	-0.00172368	-0.104712	0.0139989
0.397	-0.00175489	-0.0909513	0.0141725
0.398	-0.0016769	-0.0762268	0.014082
0.399	-0.00155237	-0.0619383	0.0140006
0.4	-0.00135077	-0.0473405	0.0138011
0.401	-0.00107362	-0.0324764	0.0135275
0.402	-0.000749471	-0.0178254	0.0132327
0.403	-0.000320397	-0.00301838	0.0127745
0.404	0.000140582	0.0115577	0.0123482
0.405	0.00069558	0.0262011	0.0118205
0.406	0.00129911	0.0405974	0.0112381
0.407	0.00195138	0.0545503	0.0106724
0.408	0.00269066	0.0688884	0.00997217
0.409	0.00342459	0.08216	0.0093471
0.41	0.00423089	0.0955675	0.00868016
0.411	0.0050687	0.108757	0.00798895
0.412	0.00590185	0.121208	0.00733783
0.413	0.0067298	0.133137	0.00677762
0.414	0.00757144	0.144902	0.00622272
0.415	0.00839343	0.156276	0.00571742
0.416	0.00918291	0.167168	0.00527324
0.417	0.00994438	0.177703	0.00486916
0.418	0.0106687	0.188074	0.00447017
0.419	0.0113303	0.198181	0.00408505
0.42	0.0118895	0.207452	0.00380097
0.421	0.0123787	0.216752	0.00355715
0.422	0.0127622	0.226381	0.00332771
0.423	0.0129911	0.235165	0.00314473
0.424	0.0130994	0.243837	0.00299242
0.425	0.013123	0.252817	0.00293185
0.426	0.0130973	0.262329	0.00280578
0.427	0.0131945	0.270672	0.0025636
0.428	0.0135016	0.279633	0.00229111
0.429	0.0139815	0.287933	0.00195387
0.43	0.0145324	0.29561	0.00156265
0.431	0.0150098	0.30181	0.00119439
0.432	0.015373	0.306929	0.000858598
0.433	0.0156779	0.312405	0.00059254
0.434	0.0157971	0.316465	0.000384046
0.435	0.0157899	0.320212	0.000197051
0.436	0.0156554	0.324105	5.20395e-05
0.437	0.0154606	0.327448	-9.72433e-05
0.438	0.015252	0.329838	-0.000316748
0.439	0.0150528	0.331558	-0.00063822
0.44	0.0148682	0.333298	-0.000956648
0.441	0.0146675	0.333985	-0.00137443
0.442	0.0144575	0.334547	-0.00174363
0.443	0.0141834	0.334045	-0.00226832
0.444	0.0138818	0.333236	-0.00276077
